CB,dateTime,AHeader,EB,VARR,PFR,VAR,PT,EB_OnTime,FREQ,DG_OnTime,SS,WR,CT,DG,EB_OffTime,WH,VB,VARY,VAB,VARB,ASmartDG_id,LAT,LH,PFY,VLNA,VY,LON,Event_Type,VBR,VLLA,WY,BB_V,PFA,WB,VART,CY,DLAT,WT,DLON,PFB,DG_V,volume,CR,VR,AT_V,FF_DateTime,VAY,DG_OffTime,VYB,VRY,VAT
000.00,2018-12-27 18:30:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:31:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.59,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:32:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:33:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:34:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:35:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:36:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:37:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.64,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:38:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:39:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:40:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:41:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:42:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:43:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.60,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:44:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:45:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:46:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:47:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:48:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:49:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.60,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:50:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:51:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.59,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:52:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.68,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:53:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:54:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:55:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:56:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:57:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 18:58:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.57,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
